,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
271,sibolga,7,ID,1612411018,55,1.7427,98.7792,88.66,2.17
272,shizuishan,4,CN,1612411174,50,39.2333,106.7694,37.33,2.89
273,zanjan,0,IR,1612411175,86,36.6736,48.4787,24.8,4.61
274,toluviejo,3,CO,1612411175,80,9.4508,-75.4386,75.43,9.08
275,vikindu,20,TZ,1612411175,94,-7.0067,39.2985,77.0,2.37
276,kibaha,20,TZ,1612411175,94,-6.7667,38.9167,77.0,2.15
277,haines junction,97,CA,1612410973,76,60.7522,-137.5108,-20.2,1.14
278,wajima,75,JP,1612411175,80,37.4,136.9,35.6,12.66
279,tiznit,55,MA,1612410992,40,29.5833,-9.5,62.26,2.62
280,banda aceh,5,ID,1612411106,68,5.5577,95.3222,84.07,14.85
281,alta floresta,90,BR,1612411176,92,-9.8756,-56.0861,72.14,1.43
282,dromolaxia,75,CY,1612411176,77,34.8761,33.586,62.6,12.66
283,atar,94,MR,1612411176,26,20.5169,-13.0499,63.41,0.96
284,spring hill,1,US,1612410935,86,28.4769,-82.5255,39.99,4.9
285,englehart,1,CA,1612411176,85,47.8169,-79.8664,14.0,10.36
286,alpena,1,US,1612411176,79,45.0617,-83.4327,19.99,3.44
287,inhambane,84,MZ,1612411176,90,-23.865,35.3833,78.03,4.5
288,port hedland,75,AU,1612411177,58,-20.3167,118.5667,89.6,14.97
289,kazanskoye,45,RU,1612411177,93,55.6448,69.235,3.0,4.65
290,talakan,88,RU,1612411177,81,50.3167,130.3667,-13.76,8.32
291,bergerac,0,FR,1612411177,100,44.8333,0.5,52.0,4.61
292,tres picos,0,MX,1612411177,53,15.8667,-93.5333,72.55,4.83
293,dicabisagan,55,PH,1612411016,80,17.0818,122.4157,75.43,8.59
294,elgin,1,US,1612411177,74,42.0373,-88.2812,28.0,10.36
295,tashtyp,95,RU,1612411178,94,52.7939,89.8983,31.5,17.81
296,vytegra,100,RU,1612411178,97,61.0064,36.4481,16.11,1.97
297,ojinaga,1,MX,1612411178,29,29.5667,-104.4167,64.4,9.22
298,vardo,40,NO,1612411178,74,70.3705,31.1107,24.8,16.11
299,guadalupe y calvo,100,MX,1612411178,55,26.1,-106.9667,45.79,2.98
300,gadarwara,0,IN,1612411178,19,22.9167,78.7833,74.19,2.08
301,snyder,6,US,1612411179,32,32.7179,-100.9176,64.4,12.66
302,teya,100,RU,1612411179,91,60.3778,92.6267,5.02,4.27
303,nishihara,40,JP,1612411035,34,26.1842,127.7558,71.6,10.36
304,umm kaddadah,0,SD,1612411179,22,13.6017,26.6876,68.43,20.11
305,port hardy,90,CA,1612411179,93,50.6996,-127.4199,41.0,3.44
306,awjilah,0,LY,1612411179,89,29.1081,21.2869,52.92,9.48
307,paamiut,0,GL,1612411179,72,61.994,-49.6678,10.62,5.99
308,pativilca,98,PE,1612411180,82,-10.7,-77.7833,69.01,3.96
309,konevo,100,RU,1612411180,97,62.1215,39.3192,16.0,4.43
310,nome,20,US,1612411001,64,64.5011,-165.4064,-7.6,5.75
311,wuda,0,CN,1612411180,51,39.4994,106.7117,37.81,15.61
312,frederikshavn,40,DK,1612411180,80,57.4407,10.5366,23.0,11.5
313,san quintin,57,MX,1612411180,80,30.4833,-115.95,60.08,10.63
314,gawler,90,AU,1612410928,79,-34.6,138.7333,66.99,5.01
315,sakakah,75,SA,1612411181,63,29.9697,40.2064,62.6,17.27
316,nikel,75,RU,1612411181,93,69.4128,30.222,24.8,10.36
317,lake havasu city,1,US,1612410951,22,34.4839,-114.3224,68.0,3.44
318,cam ranh,40,VN,1612411181,61,11.9214,109.1591,80.6,14.97
319,camapua,100,BR,1612411181,82,-19.5314,-54.0439,75.06,3.89
320,natal,40,BR,1612411181,78,-5.795,-35.2094,78.8,9.22
321,kosmach,100,UA,1612411182,82,48.7509,24.3673,41.32,8.37
322,broken hill,100,AU,1612411093,16,-31.95,141.4333,87.8,14.97
323,mangrol,0,IN,1612411182,65,21.1167,70.1167,70.47,11.48
324,luis correia,40,BR,1612411182,78,-2.8792,-41.6669,79.11,15.73
325,dawlatabad,0,AF,1612411182,66,36.4141,64.9053,45.95,1.72
326,lockport,1,US,1612411182,86,41.5895,-88.0578,28.4,10.36
327,warwick,90,US,1612411052,64,41.7001,-71.4162,33.8,8.05
328,puerto cabezas,0,NI,1612411182,79,14.0351,-83.3888,69.4,10.02
329,hailey,1,US,1612411182,86,43.5196,-114.3153,21.2,8.05
330,meulaboh,50,ID,1612411183,63,4.1363,96.1285,86.02,1.92
331,cayenne,75,GF,1612410965,83,4.9333,-52.3333,80.6,12.66
332,santa maria,90,BR,1612410994,100,-29.6842,-53.8069,68.0,13.8
333,oni,96,GE,1612411183,59,42.5794,43.4425,42.15,3.78
334,aitape,100,PG,1612411183,83,-3.1374,142.3475,79.41,5.21
