,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
367,chabahar,0,IR,1612411187,33,25.2919,60.643,67.75,13.69
368,salinopolis,49,BR,1612411188,83,-0.6136,-47.3561,80.22,11.36
369,marsa matruh,40,EG,1612411188,88,31.3525,27.2453,60.8,13.8
370,cockburn town,54,TC,1612411188,55,21.4612,-71.1419,73.15,5.55
371,edea,75,CM,1612411188,90,3.8,10.1333,76.46,1.68
372,olutanga,51,PH,1612411188,71,7.3106,122.8464,81.3,0.85
373,blackwater,51,AU,1612411188,40,-23.5833,148.8833,90.7,13.04
374,enumclaw,97,US,1612411188,91,47.2043,-121.9915,42.01,3.0
375,arman,86,RU,1612411188,82,59.7,150.1667,2.52,20.47
376,north branch,100,US,1612411189,89,45.5113,-92.9802,30.99,8.99
377,talas,75,TR,1612411189,93,38.6908,35.5538,33.8,2.3
378,burnie,100,AU,1612411004,66,-41.0667,145.9167,70.0,10.0
379,mattru,0,SL,1612411189,90,7.6244,-11.8332,74.46,1.52
380,port hawkesbury,90,CA,1612411189,93,45.6169,-61.3485,42.8,9.22
381,kysyl-syr,100,RU,1612411189,82,63.8986,122.7617,-31.92,8.61
382,ust-maya,64,RU,1612411190,77,60.4167,134.5333,-37.89,1.74
383,sistranda,20,NO,1612411190,73,63.7256,8.834,14.0,9.22
384,kholodnyy,100,RU,1612411190,87,62.7167,147.95,-8.59,7.4
385,praia da vitoria,75,PT,1612410967,71,38.7333,-27.0667,51.8,30.27
386,ust-kuyga,80,RU,1612411190,79,70.0167,135.6,-38.07,5.61
387,yarada,0,IN,1612411190,47,17.65,83.2667,77.0,3.44
388,port blair,47,IN,1612411190,69,11.6667,92.75,82.71,14.54
389,mount gambier,95,AU,1612411016,29,-37.8333,140.7667,78.8,17.27
390,kaitangata,0,NZ,1612410929,63,-46.2817,169.8464,55.99,11.01
391,leninsk,75,RU,1612411191,100,48.7119,45.1994,42.8,8.95
392,katsuura,20,JP,1612410938,37,35.1333,140.3,53.01,31.07
393,sabang,12,ID,1612411191,76,5.8933,95.3214,81.61,23.31
394,tarakan,40,ID,1612411191,74,3.3,117.6333,86.0,9.22
395,sitka,90,US,1612410944,75,57.0531,-135.33,37.4,4.45
396,skeldon,89,GY,1612411191,91,5.8833,-57.1333,75.74,8.05
397,bela,1,IN,1612411191,44,25.9333,81.9833,66.58,2.91
398,samdari,0,IN,1612411192,30,25.8167,72.5833,68.43,2.73
399,lom sak,0,TH,1612411192,41,16.7798,101.2422,80.6,9.22
400,scarborough,100,GB,1612411192,95,54.2797,-0.4044,39.0,3.0
401,uyovu,30,TZ,1612411192,97,-3.2833,31.5258,60.76,3.02
402,myrtle beach,1,US,1612410909,52,33.6891,-78.8867,39.2,5.75
403,luanda,20,AO,1612411104,83,-8.8368,13.2343,78.8,4.61
404,kuching,40,MY,1612411193,100,1.55,110.3333,77.0,6.91
405,kenai,90,US,1612411029,86,60.5544,-151.2583,17.6,9.22
406,abu dhabi,75,AE,1612410967,94,24.4667,54.3667,62.6,2.3
407,parlakimidi,0,IN,1612411193,31,18.7667,84.0833,78.13,1.63
408,mokhotlong,65,LS,1612411193,85,-29.2894,29.0675,52.16,0.56
409,stornoway,75,GB,1612411193,70,58.2093,-6.3865,37.4,18.41
410,hualmay,95,PE,1612411194,81,-11.0964,-77.6139,69.44,6.46
411,san policarpo,40,PH,1612411194,73,12.1791,125.5072,83.34,12.5
412,porto velho,20,BR,1612411194,94,-8.7619,-63.9039,77.0,2.3
413,narsaq,20,GL,1612411194,48,60.9167,-46.05,12.2,4.61
414,puerto baquerizo moreno,16,EC,1612411194,87,-0.9,-89.6,76.17,9.6
415,casalpusterlengo,97,IT,1612411194,95,45.1769,9.6491,43.0,6.82
416,kamina,93,CD,1612411195,97,-8.7386,24.9906,61.48,3.11
417,high level,90,CA,1612411195,84,58.5169,-117.136,-14.8,2.21
418,porto santo,40,PT,1612410983,82,33.072,-16.3415,55.4,6.91
419,itarema,100,BR,1612411195,81,-2.9248,-39.9167,78.96,12.77
420,mount isa,40,AU,1612411195,30,-20.7333,139.5,98.6,12.66
421,la ronge,100,CA,1612411195,78,55.1001,-105.2842,5.0,8.05
422,sabya,20,SA,1612411195,83,17.1495,42.6254,71.6,6.91
423,de-kastri,3,RU,1612411196,77,51.4667,140.7833,-9.63,7.07
424,saint-georges,20,GD,1612411196,78,12.0564,-61.7485,80.6,23.02
425,sulangan,97,PH,1612411196,78,11.1373,123.7228,81.07,11.63
426,contamana,100,PE,1612411196,83,-7.3333,-75.0167,77.68,1.52
427,san francisco,40,US,1612411039,71,37.7749,-122.4194,53.6,10.36
428,carthage,20,TN,1612411196,93,36.8611,10.3316,51.8,5.75
429,laurel,1,US,1612411187,64,39.0993,-76.8483,35.01,9.22
430,del rio,1,US,1612411197,40,29.3627,-100.8968,69.8,9.22
431,cherkasskoye,100,RU,1612411197,97,52.4333,47.2167,33.03,5.57
432,roma,90,US,1612411197,74,43.2128,-75.4557,26.6,3.44
433,adrar,71,MR,1612411009,25,20.5022,-10.0711,65.82,5.46
434,grindavik,0,IS,1612410937,75,63.8424,-22.4338,33.8,27.63
435,ulaanbaatar,0,MN,1612411080,72,47.9077,106.8832,3.2,2.95
436,trairi,99,BR,1612411197,79,-3.2778,-39.2689,78.33,8.5
437,sirhind,66,IN,1612410919,65,30.6456,76.3825,60.22,9.17
438,phan thiet,19,VN,1612410900,45,10.9333,108.1,83.91,7.54
439,nikolayevsk-na-amure,5,RU,1612411198,80,53.1406,140.73,-14.37,16.58
440,luancheng,100,CN,1612411198,22,37.8792,114.6517,41.0,4.47
441,handlova,100,SK,1612411198,100,48.7276,18.7601,42.01,5.53
442,canton,0,CN,1612410969,53,23.1167,113.25,73.4,2.24
443,rustenburg,45,ZA,1612411198,84,-25.6676,27.2421,63.37,2.57
444,general roca,0,AR,1612410981,60,-39.0333,-67.5833,69.8,3.44
445,sur,0,OM,1612411199,58,22.5667,59.5289,71.47,5.35
446,ibra,0,OM,1612411199,57,22.6906,58.5334,64.54,2.3
447,walvis bay,73,NA,1612411199,91,-22.9575,14.5053,63.07,5.86
448,leshukonskoye,100,RU,1612411199,93,64.8989,45.7622,1.35,6.22
449,kahului,1,US,1612411200,68,20.8947,-156.47,68.0,19.57
450,kodinsk,92,RU,1612411200,90,58.6881,99.1844,-1.17,2.66
451,carnarvon,90,AU,1612411200,100,-24.8667,113.6333,82.4,27.63
452,zamora,32,EC,1612411200,72,-4.0692,-78.9567,67.05,1.88
453,eureka,49,US,1612411202,80,40.8021,-124.1637,46.0,1.01
454,padang,40,ID,1612411203,66,-0.9492,100.3543,86.0,4.61
455,srandakan,94,ID,1612411203,62,-7.9386,110.2506,87.08,7.23
456,asosa,1,ET,1612411205,34,10.0667,34.5333,66.2,2.82
457,itapetininga,100,BR,1612411206,83,-23.5917,-48.0531,71.87,1.86
458,cairns,90,AU,1612410917,66,-16.9167,145.7667,87.8,9.22
459,lompoc,1,US,1612411208,71,34.6391,-120.4579,53.6,10.36
460,livingstone,100,ZM,1612411209,95,-17.8419,25.8543,66.96,5.08
461,maumere,98,ID,1612411210,84,-8.6199,122.2111,78.76,6.22
462,nioro,93,GM,1612411017,24,13.35,-15.75,70.47,1.77
463,alofi,90,NU,1612411211,89,-19.0595,-169.9187,80.6,5.75
464,gazanjyk,100,TM,1612411211,55,39.2446,55.5154,46.53,0.83
465,bensonville,20,LR,1612411212,100,6.4461,-10.6125,75.2,3.09
466,manbij,75,SY,1612411212,76,36.5281,37.9549,44.6,6.91
467,pangnirtung,80,CA,1612411005,78,66.1451,-65.7125,-9.94,1.83
468,dubrovnik,20,HR,1612411213,81,42.6481,18.0922,50.0,10.36
469,mayo,1,US,1612411213,52,38.8876,-76.5119,37.4,9.22
470,loikaw,0,MM,1612411213,19,19.6742,97.2094,81.64,1.99
471,emba,100,KZ,1612411213,97,48.8264,58.1442,29.84,5.1
472,mahajanga,20,MG,1612411213,94,-15.7167,46.3167,75.2,4.61
473,shenjiamen,0,CN,1612411213,80,29.9576,122.298,49.93,11.61
474,choix,92,MX,1612411214,35,26.7092,-108.3219,69.66,2.91
475,college,90,US,1612411213,71,64.8569,-147.8028,-5.8,3.44
476,peniche,100,PT,1612411214,91,39.3558,-9.3811,54.0,6.6
477,los llanos de aridane,75,ES,1612411215,82,28.6585,-17.9182,62.6,5.75
478,bardiyah,3,LY,1612411216,85,31.7561,25.0865,57.9,13.15
479,nabire,91,ID,1612411216,67,-3.3667,135.4833,84.97,5.06
480,kinshasa,98,CD,1612411100,88,-4.3246,15.3215,77.0,2.3
481,iranshahr,0,IR,1612411216,27,27.2025,60.6848,48.2,4.61
482,ichinoseki,90,JP,1612411217,93,38.9167,141.1333,21.2,12.66
483,martil,52,MA,1612411217,93,35.6166,-5.2752,51.8,5.75
484,deputatskiy,94,RU,1612411217,88,69.3,139.9,-24.79,1.7
485,chapais,1,CA,1612411217,62,49.7834,-74.8492,15.8,3.44
486,rawson,7,AR,1612411029,59,-43.3002,-65.1023,69.46,14.56
487,nuuk,20,GL,1612411016,66,64.1835,-51.7216,6.8,9.22
488,grand gaube,0,MU,1612411218,73,-20.0064,57.6608,82.99,5.99
489,krasnoselkup,98,RU,1612411218,91,65.7,82.4667,-8.28,5.79
490,gondar,0,ET,1612411218,34,12.6,37.4667,56.82,5.19
491,calarasi,100,MD,1612411218,100,47.2544,28.3081,37.4,9.22
492,roswell,1,US,1612411219,48,34.0232,-84.3616,37.4,3.44
493,half moon bay,90,US,1612410966,87,37.4636,-122.4286,51.01,8.05
494,la jagua del pilar,98,CO,1612411219,71,10.5102,-73.071,75.92,6.58
495,fairview,75,US,1612411220,64,40.8126,-73.999,30.99,11.5
496,bad neuenahr-ahrweiler,72,DE,1612411220,86,50.55,7.1,43.0,1.99
497,gorgan,90,IR,1612411220,100,36.8387,54.4348,37.4,1.77
498,marshalltown,20,US,1612411220,93,42.0494,-92.908,32.0,16.11
499,carpina,40,BR,1612411221,69,-7.8508,-35.2547,78.8,6.91
500,oranjemund,26,NA,1612411221,94,-28.55,16.4333,60.62,6.06
501,harsin,40,IR,1612411222,64,34.2721,47.5861,32.0,1.88
502,halifax,100,CA,1612411027,100,44.6453,-63.5724,39.99,3.44
503,puerto colombia,20,CO,1612411222,88,10.9878,-74.9547,77.0,14.97
504,noormarkku,0,FI,1612411222,85,61.5927,21.8685,6.8,6.91
505,faanui,99,PF,1612411027,78,-16.4833,-151.75,78.24,10.04
506,sioux lookout,90,CA,1612411223,80,50.1001,-91.917,28.4,5.75
507,biak,99,ID,1612411223,73,-0.9131,122.8766,80.42,2.93
508,maniitsoq,9,GL,1612411223,73,65.4167,-52.9,2.07,9.06
509,ugoofaaru,63,MV,1612411193,73,5.6667,73.0,81.41,12.77
510,pueblo nuevo,52,MX,1612411223,61,23.3833,-105.3833,52.25,4.54
511,lima,0,PE,1612411224,83,-12.0432,-77.0282,73.99,11.5
512,aquiles serdan,1,MX,1612411224,88,17.7833,-92.2833,62.6,4.41
513,tessalit,0,ML,1612411224,24,20.1986,1.0114,64.53,15.86
514,sandy bay,40,AU,1612411224,53,-42.913,147.3532,78.01,8.05
515,pimenta bueno,100,BR,1612411225,92,-11.6725,-61.1936,74.98,1.61
516,sao jose da coroa grande,6,BR,1612411225,81,-8.8978,-35.1478,77.11,6.38
517,goderich,0,CA,1612410931,85,43.7501,-81.7165,6.8,3.44
518,gubskaya,100,RU,1612411225,57,44.3164,40.6358,45.79,3.49
519,alice springs,0,AU,1612411225,16,-23.7,133.8833,100.4,21.85
520,cedar city,90,US,1612411226,60,37.6775,-113.0619,39.2,13.8
521,bhakkar,2,PK,1612411226,49,31.6253,71.0657,59.11,5.48
522,presidente medici,99,BR,1612411226,88,-11.1753,-61.9014,74.75,0.89
523,constantine,61,DZ,1612411226,44,36.365,6.6147,51.19,5.46
524,lundazi,94,ZM,1612411227,93,-12.2929,33.1782,64.2,4.18
525,skjervoy,100,NO,1612411227,88,70.0311,20.9714,33.3,16.28
526,tateyama,20,JP,1612411227,37,34.9833,139.8667,53.01,31.07
527,fairbanks,90,US,1612411211,77,64.8378,-147.7164,-5.8,5.75
528,kieta,64,PG,1612411217,76,-6.2167,155.6333,83.98,10.58
529,baruun-urt,30,MN,1612411228,90,46.6806,113.2792,10.69,16.64
530,nizhnyaya omka,0,RU,1612411228,94,55.4338,74.9426,2.1,7.43
531,piraju,100,BR,1612411228,84,-23.1936,-49.3839,73.35,1.57
532,pondicherry,67,IN,1612411229,66,11.93,79.83,77.45,9.73
533,methoni,20,GR,1612411229,100,36.8197,21.7049,52.0,5.75
534,ossora,100,RU,1612410967,93,59.2353,163.0719,22.66,14.5
535,golyshmanovo,43,RU,1612411229,93,56.3979,68.3728,2.08,6.24
536,la reforma,99,MX,1612411230,82,25.0833,-108.05,63.0,6.76
537,binzhou,38,CN,1612411230,24,37.3667,118.0167,48.0,3.0
538,calabozo,8,VE,1612411230,55,8.9242,-67.4293,82.24,6.24
539,okha,29,RU,1612411230,79,53.5739,142.9478,-18.26,18.9
540,pueblo,1,US,1612411179,46,38.2545,-104.6091,48.2,11.74
541,lakhdenpokhya,99,RU,1612411231,95,61.5198,30.1992,15.01,10.27
542,broome,75,US,1612411231,58,42.2506,-75.833,28.0,11.5
543,maltahohe,10,NA,1612411232,33,-24.8333,16.9833,71.42,10.42
544,giarmata,40,RO,1612411232,100,45.8383,21.3108,48.99,9.22
545,palu,100,ID,1612411233,58,-0.8917,119.8707,87.15,4.45
546,tabou,10,CI,1612411233,90,4.423,-7.3528,77.9,6.73
547,boralday,90,KZ,1612411233,93,43.3578,76.8594,24.8,4.47
548,geraldton,40,AU,1612411233,39,-28.7667,114.6,82.4,26.46
549,charters towers,64,AU,1612411042,50,-20.1,146.2667,88.5,10.36
550,saint anthony,90,US,1612411026,80,45.0205,-93.218,30.99,10.36
551,prachuap khiri khan,17,TH,1612411234,65,12.2167,99.75,84.2,3.44
